filename,count,locations
seq_000001.jpg,29,"[(60.70477815699661, 126.77986348122866), (47.59897610921496, 116.95051194539244), (44.32252559726953, 175.10750853242317), (45.14163822525586, 184.117747440273), (44.32252559726953, 192.30887372013646), (42.684300341296876, 230.80716723549486), (66.43856655290097, 190.67064846416375), (70.53412969283272, 176.74573378839582), (100.02218430034122, 134.9709897610921), (215.51706484641636, 14.561433447098892), (229.44197952218425, 57.15529010238899), (193.40102389078493, 148.07679180887365), (236.81399317406135, 143.16211604095557), (222.88907849829343, 210.32935153583614), (221.25085324232077, 260.29522184300333), (225.3464163822525, 348.75938566552895), (253.19624573378832, 364.32252559726953), (249.10068259385662, 331.5580204778156), (370.3293515358361, 136.60921501706477), (453.87883959044365, 330.7389078498293), (433.4010238907849, 387.2576791808873), (315.4488054607508, 397.08703071672346), (324.45904436860064, 531.4215017064846), (299.88566552901017, 563.3668941979522), (300.70477815699655, 581.3873720136519), (140.15870307167228, 566.6433447098975), (122.13822525597266, 524.0494880546074), (117.22354948805457, 536.3361774744027), (118.86177474402723, 560.9095563139931)]"
seq_000002.jpg,30,"[(199.13481228668945, 57.155290102389046), (209.7832764505119, 87.46245733788388), (205.68771331058014, 169.3737201365187), (154.0836177474402, 159.54436860068253), (102.47952218430027, 138.24744027303748), (63.981228668941924, 157.90614334470982), (65.61945392491458, 164.45904436860062), (58.247440273037455, 170.19283276450508), (38.58873720136512, 123.50341296928323), (118.0426621160409, 520.7730375426621), (117.22354948805457, 536.3361774744027), (117.22354948805457, 560.0904436860068), (134.4249146757678, 572.377133105802), (118.86177474402723, 587.1211604095563), (335.9266211604095, 576.4726962457338), (348.21331058020473, 587.1211604095563), (374.42491467576787, 541.2508532423208), (387.53071672354946, 421.6604095563139), (400.636518771331, 364.32252559726953), (362.957337883959, 125.96075085324227), (226.16552901023886, 221.79692832764502), (218.79351535836167, 257.83788395904435), (227.80375426621154, 325.00511945392486), (228.6228668941979, 376.6092150170648), (276.95051194539246, 318.452218430034), (226.91509433962256, 352.19811320754724), (43.628964059196505, 175.8911205073996), (49.71775898520076, 176.9059196617336), (43.628964059196505, 187.05391120507397), (42.61416490486249, 228.66067653276957)]"
seq_000003.jpg,35,"[(43.77044025157227, 118.73899371069183), (44.776729559748276, 134.83962264150946), (43.770440251572154, 175.0911949685535), (43.770440251572154, 181.1289308176101), (60.87735849056588, 216.34905660377365), (67.92138364779862, 212.32389937106925), (61.883647798742004, 140.87735849056608), (58.864779874213696, 156.9779874213837), (96.09748427672946, 195.21698113207552), (131.31761006289298, 179.1163522012579), (169.5566037735848, 196.2232704402516), (178.61320754716968, 84.52515723270443), (187.6698113207546, 114.71383647798746), (226.91509433962256, 220.37421383647805), (207.79559748427664, 246.53773584905667), (257.1037735849056, 270.6886792452831), (234.96540880503136, 329.05345911949695), (255.09119496855334, 328.0471698113208), (239.99685534591185, 387.41823899371076), (249.05345911949672, 262.6383647798743), (363.77044025157227, 144.90251572327048), (359.74528301886784, 412.5754716981133), (347.6698113207546, 471.9465408805033), (420.1226415094339, 522.2610062893083), (382.8899371069182, 556.4748427672957), (395.9716981132075, 583.6446540880504), (133.3301886792451, 568.550314465409), (120.24842767295581, 558.487421383648), (119.24213836477975, 538.3616352201259), (122.26100628930806, 528.2987421383649), (51.820754716981014, 475.97169811320765), (138.36163522012566, 563.5188679245284), (42.684300341296876, 231.6262798634812), (224.9025157232703, 352.19811320754724), (46.67336152219866, 189.08350951374206)]"
seq_000004.jpg,31,"[(44.77672955974833, 140.87735849056602), (47.795597484276584, 151.9465408805032), (44.776729559748276, 177.1037735849057), (41.75786163521997, 185.15408805031453), (42.76415094339609, 230.43710691823907), (53.833333333333144, 143.8962264150944), (59.87106918238976, 128.80188679245288), (107.16666666666652, 191.19182389937112), (143.39308176100616, 201.25471698113213), (166.5377358490565, 137.85849056603777), (156.47484276729546, 105.65723270440256), (47.795597484276584, 460.87735849056617), (50.81446540880489, 476.9779874213838), (48.801886792452706, 491.06603773584914), (120.24842767295581, 540.3742138364781), (118.23584905660363, 564.5251572327045), (134.3364779874213, 565.5314465408807), (135.34276729559735, 572.5754716981133), (222.88993710691813, 220.37421383647805), (223.89622641509425, 262.6383647798743), (253.07861635220115, 262.6383647798743), (250.05974842767284, 274.7138364779875), (248.04716981132066, 329.05345911949695), (239.99685534591185, 343.14150943396237), (260.12264150943383, 394.4622641509435), (326.5377358490565, 451.82075471698124), (310.4371069182389, 509.179245283019), (436.2232704402515, 544.3993710691825), (453.3301886792452, 559.493710691824), (373.83333333333326, 130.81446540880506), (221.883647798742, 351.1918238993712)]"
seq_000005.jpg,26,"[(51.82075471698107, 123.77044025157232), (53.833333333333144, 145.90880503144658), (49.80817610062877, 168.0471698113208), (45.7830188679244, 174.08490566037742), (42.76415094339609, 185.15408805031453), (46.78930817610046, 213.33018867924534), (42.76415094339609, 230.43710691823907), (82.00943396226398, 119.74528301886795), (91.06603773584891, 194.21069182389942), (126.28616352201243, 199.24213836477992), (148.42452830188665, 154.9654088050315), (137.35534591194954, 134.83962264150946), (223.89622641509425, 219.36792452830196), (225.90880503144643, 261.63207547169816), (247.04088050314454, 269.68238993710696), (258.11006289308165, 339.11635220125794), (244.02201257861623, 347.16666666666674), (284.2735849056603, 389.430817610063), (284.2735849056603, 484.02201257861645), (273.2044025157232, 534.3364779874215), (392.9528301886792, 128.80188679245288), (133.3301886792451, 568.550314465409), (46.78930817610046, 471.9465408805033), (44.776729559748276, 454.83962264150955), (46.78930817610046, 431.6949685534592), (221.883647798742, 353.20440251572336)]"
seq_000006.jpg,26,"[(48.80188679245276, 118.73899371069183), (54.83962264150932, 167.0408805031447), (43.770440251572154, 178.11006289308182), (43.770440251572154, 185.15408805031453), (87.04088050314454, 139.87106918239), (79.9968553459118, 182.13522012578622), (114.2106918238992, 177.1037735849057), (135.34276729559735, 177.1037735849057), (125.27987421383637, 145.90880503144658), (223.89622641509425, 221.38050314465414), (210.8144654088049, 259.619496855346), (253.07861635220115, 255.5943396226416), (268.17295597484264, 341.1289308176101), (256.09748427672946, 360.24842767295604), (264.14779874213826, 407.5440251572328), (262.1352201257861, 488.0471698113208), (246.03459119496847, 546.4119496855348), (399.99685534591185, 135.8459119496856), (133.3301886792451, 567.5440251572328), (45.7830188679244, 470.94025157232716), (39.74528301886778, 442.7641509433963), (46.78930817610046, 402.5125786163523), (95.09119496855328, 394.4622641509435), (41.75786163521997, 227.41823899371076), (46.78930817610046, 213.33018867924534), (225.90880503144643, 350.18553459119505)]"
seq_000007.jpg,28,"[(109.17924528301882, 124.77672955974842), (95.09119496855328, 154.9654088050315), (62.88993710691807, 148.92767295597488), (68.92767295597469, 172.0723270440252), (43.770440251572154, 179.1163522012579), (45.7830188679244, 213.33018867924534), (39.74528301886778, 228.42452830188682), (118.23584905660363, 156.9779874213837), (132.32389937106905, 195.21698113207552), (95.09119496855328, 288.8018867924529), (279.24213836477975, 12.072327044025158), (223.89622641509425, 219.36792452830196), (207.79559748427664, 252.5754716981133), (246.03459119496847, 272.70125786163527), (391.94654088050305, 172.0723270440252), (283.2672955974842, 357.22955974842773), (271.19182389937095, 392.4496855345913), (276.2232704402515, 446.78930817610075), (229.9339622641508, 491.06603773584914), (214.83962264150932, 544.3993710691825), (131.31761006289298, 570.5628930817611), (139.36792452830173, 565.5314465408807), (106.16037735849045, 469.93396226415103), (83.0157232704401, 383.3930817610064), (76.97798742138349, 406.5377358490567), (37.73270440251554, 445.7830188679246), (44.776729559748276, 473.95911949685546), (226.91509433962256, 351.1918238993712)]"
seq_000008.jpg,27,"[(62.88993710691818, 123.77044025157232), (61.883647798742004, 154.9654088050315), (41.75786163521997, 177.1037735849057), (44.776729559748276, 182.13522012578622), (43.770440251572154, 212.32389937106925), (38.73899371069166, 226.41194968553464), (109.17924528301876, 141.88364779874217), (111.19182389937095, 179.1163522012579), (119.24213836477975, 203.26729559748432), (98.11006289308159, 288.8018867924529), (239.99685534591185, 57.355345911949705), (223.89622641509425, 216.34905660377365), (211.820754716981, 243.51886792452837), (247.04088050314454, 266.6635220125787), (377.85849056603763, 186.16037735849062), (302.3867924528301, 392.4496855345913), (287.29245283018855, 424.6509433962265), (298.36163522012566, 468.92767295597497), (205.7830188679244, 493.0786163522014), (198.73899371069172, 536.3490566037738), (133.3301886792451, 572.5754716981133), (117.2295597484275, 466.9150943396227), (84.02201257861623, 417.6069182389938), (94.08490566037722, 388.4245283018869), (41.75786163521997, 448.80188679245293), (45.7830188679244, 468.92767295597497), (224.9025157232703, 349.17924528301893)]"
seq_000009.jpg,29,"[(41.75786163522008, 175.09119496855345), (41.75786163521997, 182.13522012578622), (46.78930817610046, 213.33018867924534), (43.770440251572154, 228.42452830188682), (51.820754716981014, 131.82075471698116), (119.24213836477975, 129.80817610062897), (195.7201257861634, 94.58805031446545), (105.15408805031433, 182.13522012578622), (113.20440251572313, 204.27358490566044), (100.12264150943383, 292.8270440251573), (208.8018867924527, 237.48113207547175), (250.05974842767284, 250.56289308176105), (248.04716981132066, 275.7201257861636), (239.99685534591185, 228.42452830188682), (379.8710691823899, 182.13522012578622), (335.5943396226414, 405.5314465408806), (319.4937106918238, 456.85220125786174), (330.56289308176093, 502.1352201257863), (188.67610062893067, 482.0094339622642), (174.58805031446525, 530.3113207547171), (135.34276729559735, 572.5754716981133), (134.3364779874213, 563.5188679245284), (92.07232704402497, 469.93396226415103), (96.09748427672946, 421.6320754716982), (105.15408805031433, 385.4056603773586), (40.751572327043846, 442.7641509433963), (39.74528301886778, 462.88993710691835), (128.29874213836467, 473.95911949685546), (225.90880503144643, 348.17295597484286)]"
seq_000010.jpg,31,"[(251.06603773584897, 35.216981132075475), (133.3301886792451, 120.75157232704407), (99.11635220125771, 154.9654088050315), (104.1477987421382, 178.11006289308182), (161.50628930817595, 134.83962264150946), (108.17295597484264, 285.7830188679246), (45.7830188679244, 119.74528301886795), (42.76415094339609, 176.0974842767296), (45.7830188679244, 185.15408805031453), (49.80817610062877, 214.33647798742143), (40.751572327043846, 229.43081761006295), (207.79559748427664, 238.48742138364787), (243.01572327044016, 269.68238993710696), (255.09119496855334, 249.55660377358498), (224.9025157232703, 239.49371069182394), (373.83333333333326, 142.88993710691827), (362.76415094339615, 428.6761006289309), (349.68238993710685, 476.9779874213838), (366.7893081761005, 527.2924528301888), (157.48113207547158, 516.2232704402517), (168.5503144654087, 487.04088050314476), (130.31132075471686, 567.5440251572328), (134.3364779874213, 562.5125786163524), (137.35534591194954, 472.95283018867934), (113.20440251572313, 427.66981132075483), (96.09748427672946, 414.58805031446553), (117.2295597484275, 392.4496855345913), (37.73270440251554, 424.6509433962265), (37.73270440251554, 446.78930817610075), (226.91509433962256, 349.17924528301893), (42.61416490486249, 240.83826638477802)]"
seq_000011.jpg,37,"[(157.48113207547163, 89.55660377358491), (213.8333333333332, 87.54402515723274), (439.24213836477986, 4.022012578616355), (412.0723270440251, 57.355345911949705), (364.77672955974833, 115.72012578616355), (219.87106918238982, 225.40566037735857), (208.8018867924527, 242.51257861635224), (251.06603773584897, 267.6698113207548), (258.11006289308165, 240.50000000000006), (392.9528301886792, 447.7955974842768), (380.87735849056594, 508.1729559748429), (353.7075471698112, 546.4119496855348), (331.569182389937, 578.61320754717), (399.99685534591185, 577.6069182389939), (98.11006289308159, 113.70754716981136), (98.11006289308159, 130.81446540880506), (69.93396226415081, 117.73270440251576), (140.37421383647785, 150.9402515723271), (119.24213836477975, 256.60062893081766), (114.2106918238992, 281.7578616352202), (110.18553459119482, 375.3427672955976), (130.31132075471686, 403.5188679245284), (124.27358490566024, 427.66981132075483), (151.44339622641496, 472.95283018867934), (150.4371069182389, 489.053459119497), (139.36792452830173, 515.2169811320756), (131.31761006289298, 564.5251572327045), (35.72012578616335, 428.6761006289309), (30.688679245282856, 413.5817610062894), (42.76415094339609, 176.0974842767296), (45.65856236786459, 192.1279069767442), (41.59936575052842, 205.32029598308668), (222.88993710691813, 348.17295597484286), (42.61416490486249, 226.6310782241015), (42.61416490486249, 233.73467230443975), (48.70295983086669, 217.4978858350952), (46.67336152219866, 184.00951374207187)]"
seq_000012.jpg,37,"[(439.24213836477986, 467.92138364779873), (425.1540880503144, 553.4559748427674), (439.24213836477986, 604.7767295597486), (302.3867924528301, 488.0471698113208), (299.3679245283018, 545.4056603773586), (134.3364779874213, 431.6949685534592), (144.39937106918228, 404.5251572327045), (164.52515723270426, 466.9150943396227), (138.36163522012566, 498.11006289308193), (128.29874213836467, 523.2672955974843), (112.19811320754707, 547.4182389937108), (129.30503144654074, 564.5251572327045), (27.669811320754548, 395.4685534591196), (29.68238993710679, 414.58805031446553), (58.864779874213696, 391.4433962264152), (43.770440251572154, 176.0974842767296), (42.76415094339609, 229.43081761006295), (45.7830188679244, 214.33647798742143), (75.97169811320737, 139.87106918239), (77.98427672955961, 149.93396226415098), (117.2295597484275, 161.0031446540881), (126.28616352201243, 230.43710691823907), (126.28616352201243, 258.61320754716985), (126.28616352201243, 270.6886792452831), (126.28616352201243, 280.7515723270441), (186.66352201257848, 64.3993710691824), (180.62578616352187, 118.73899371069186), (219.87106918238982, 212.32389937106925), (206.78930817610052, 242.51257861635224), (234.96540880503136, 234.46226415094344), (249.05345911949672, 261.63207547169816), (360.75157232704396, 139.87106918239), (371.82075471698107, 19.116352201257868), (467.4182389937106, 208.29874213836484), (453.3301886792452, 260.6257861635221), (226.91509433962256, 350.18553459119505), (45.65856236786459, 190.09830866807613)]"
seq_000013.jpg,41,"[(474.4622641509434, 562.5125786163522), (260.12264150943383, 494.08490566037744), (255.09119496855334, 550.4371069182391), (168.5503144654087, 401.5062893081762), (158.48742138364764, 445.7830188679246), (185.65723270440242, 473.95911949685546), (127.29245283018855, 494.08490566037744), (104.1477987421382, 506.1603773584907), (118.23584905660363, 534.3364779874215), (135.34276729559735, 564.5251572327045), (135.34276729559735, 572.5754716981133), (59.87106918238976, 402.5125786163523), (31.694968553458978, 374.33647798742146), (25.65723270440236, 387.41823899371076), (41.75786163521997, 148.92767295597488), (42.76415094339609, 175.0911949685535), (46.78930817610046, 181.1289308176101), (36.72641509433947, 219.36792452830196), (34.713836477987286, 233.45597484276738), (69.93396226415081, 121.75786163522017), (75.97169811320737, 132.82704402515728), (77.98427672955961, 176.0974842767296), (89.05345911949672, 181.1289308176101), (104.1477987421382, 163.0157232704403), (159.49371069182376, 129.80817610062897), (139.36792452830173, 205.27987421383654), (138.36163522012566, 243.51886792452837), (132.32389937106905, 254.58805031446548), (133.3301886792451, 283.7704402515724), (329.5566037735848, 6.034591194968556), (214.83962264150932, 27.16666666666667), (295.3427672955974, 14.084905660377366), (325.53144654088044, 41.254716981132084), (422.1352201257861, 99.61949685534594), (412.0723270440251, 153.95911949685538), (375.84591194968544, 158.9905660377359), (221.883647798742, 188.1729559748428), (205.7830188679244, 247.5440251572328), (237.9842767295596, 231.44339622641513), (253.07861635220115, 254.58805031446548), (222.88993710691813, 351.1918238993712)]"
seq_000014.jpg,41,"[(40.75157232704396, 124.77672955974842), (65.90880503144638, 121.75786163522017), (59.87106918238976, 141.88364779874217), (42.76415094339609, 175.0911949685535), (44.776729559748276, 181.1289308176101), (66.9150943396225, 158.9905660377359), (36.72641509433947, 222.38679245283026), (34.713836477987286, 236.47484276729568), (33.707547169811164, 390.43710691823907), (65.90880503144638, 408.5503144654089), (96.09748427672946, 472.95283018867934), (114.2106918238992, 492.0723270440253), (107.16666666666652, 526.2861635220127), (136.34905660377342, 568.550314465409), (135.34276729559735, 561.5062893081762), (227.92138364779862, 549.4308176100631), (227.92138364779862, 514.2106918238995), (213.8333333333332, 481.00314465408815), (188.67610062893067, 452.82704402515736), (188.67610062893067, 406.5377358490567), (85.02830188679229, 192.1981132075472), (86.03459119496841, 207.29245283018872), (93.07861635220115, 151.9465408805032), (114.2106918238992, 189.17924528301893), (141.38050314465397, 140.87735849056608), (155.46855345911933, 180.122641509434), (153.4559748427672, 217.35534591194974), (147.4182389937106, 226.41194968553464), (149.43081761006277, 271.6949685534592), (209.80817610062883, 245.53144654088055), (226.91509433962256, 191.19182389937112), (241.00314465408792, 206.28616352201263), (251.06603773584897, 236.47484276729568), (259.11635220125777, 28.172955974842772), (259.11635220125777, 51.31761006289309), (285.27987421383637, 78.48742138364781), (288.2987421383647, 37.22955974842768), (387.9213836477987, 21.12893081761007), (378.86477987421375, 66.41194968553461), (382.8899371069182, 232.44968553459125), (225.90880503144643, 352.19811320754724)]"
seq_000015.jpg,41,"[(40.75157232704396, 376.3490566037736), (25.65723270440236, 386.4119496855347), (41.75786163521997, 399.493710691824), (18.613207547169623, 183.1415094339623), (42.76415094339609, 176.0974842767296), (45.7830188679244, 180.122641509434), (39.74528301886778, 229.43081761006295), (37.73270440251554, 237.48113207547175), (62.88993710691807, 120.75157232704407), (52.82704402515708, 138.86477987421387), (62.88993710691807, 158.9905660377359), (95.09119496855328, 213.33018867924534), (92.07232704402497, 233.45597484276738), (126.28616352201243, 138.86477987421387), (82.00943396226398, 149.93396226415098), (172.57547169811312, 156.9779874213837), (170.56289308176088, 182.13522012578622), (168.5503144654087, 197.22955974842773), (160.4999999999999, 232.44968553459125), (209.80817610062883, 248.55031446540886), (219.87106918238982, 194.21069182389942), (260.12264150943383, 165.0283018867925), (233.95911949685524, 86.53773584905662), (228.92767295597474, 56.3490566037736), (253.07861635220115, 74.46226415094341), (257.1037735849056, 104.65094339622644), (288.2987421383647, 11.066037735849058), (340.6257861635219, 4.022012578616355), (352.70125786163516, 297.8584905660378), (231.94654088050305, 408.5503144654089), (204.77672955974833, 451.82075471698124), (248.04716981132066, 494.08490566037744), (201.75786163522002, 511.19182389937123), (199.74528301886778, 544.3993710691825), (142.38679245283004, 563.5188679245284), (133.3301886792451, 570.5628930817611), (99.11635220125771, 520.248427672956), (104.1477987421382, 491.06603773584914), (92.07232704402497, 454.83962264150955), (224.9025157232703, 351.1918238993712), (42.61416490486249, 255.04545454545456)]"
seq_000016.jpg,40,"[(54.83962264150938, 124.77672955974842), (54.83962264150932, 145.90880503144658), (73.95911949685524, 145.90880503144658), (41.75786163521997, 173.0786163522013), (43.770440251572154, 181.1289308176101), (16.600628930817436, 228.42452830188682), (98.11006289308159, 236.47484276729568), (106.16037735849045, 142.88993710691827), (184.6509433962263, 148.92767295597488), (183.64465408805017, 173.0786163522013), (183.64465408805017, 187.1666666666667), (170.56289308176088, 199.24213836477992), (214.83962264150932, 246.53773584905667), (219.87106918238982, 188.1729559748428), (225.90880503144643, 117.73270440251576), (207.79559748427664, 100.62578616352204), (210.8144654088049, 66.41194968553461), (229.9339622641508, 73.45597484276732), (255.09119496855334, 41.254716981132084), (259.11635220125777, 5.028301886792455), (268.17295597484264, 24.14779874213837), (285.27987421383637, 112.70125786163524), (311.443396226415, 140.87735849056608), (321.506289308176, 321.00314465408815), (256.09748427672946, 413.5817610062894), (226.91509433962256, 462.88993710691835), (280.24842767295587, 525.2798742138366), (180.62578616352187, 479.9968553459121), (172.57547169811312, 506.1603773584907), (133.3301886792451, 568.550314465409), (135.34276729559735, 561.5062893081762), (98.11006289308159, 483.0157232704404), (92.07232704402497, 514.2106918238995), (83.0157232704401, 437.7327044025158), (44.776729559748276, 387.41823899371076), (28.67610062893067, 405.5314465408806), (71.946540880503, 402.5125786163523), (222.88993710691813, 352.19811320754724), (98.42811839323457, 245.9122621564482), (44.64376321353052, 243.88266384778018)]"
