Timestamp,DetectedObjects,ViolatingObjects,EnvironmentScore
2020-08-03 13:23:27,4,1,0.94
2020-08-03 13:23:28,5,3,0.9
2020-08-03 13:23:28,5,1,0.92
2020-08-03 13:23:29,5,1,0.92
2020-08-03 13:23:29,4,1,0.94
2020-08-03 13:23:30,6,4,0.88
2020-08-03 13:23:30,6,4,0.88
2020-08-03 13:23:31,6,4,0.88
2020-08-03 13:23:31,5,3,0.9
2020-08-03 13:23:32,5,4,0.89
2020-08-03 13:23:32,5,3,0.9
2020-08-03 13:23:33,5,3,0.9
2020-08-03 13:23:33,5,3,0.9
2020-08-03 13:23:34,4,3,0.91
2020-08-03 13:23:35,5,2,0.91
2020-08-03 13:23:35,4,3,0.91
2020-08-03 13:23:36,6,5,0.86
2020-08-03 13:23:36,6,4,0.88
2020-08-03 13:23:37,5,2,0.91
2020-08-03 13:23:37,5,2,0.91
2020-08-03 13:23:38,4,1,0.94
2020-08-03 13:23:38,4,1,0.94
2020-08-03 13:23:39,3,1,0.95
2020-08-03 13:23:39,3,1,0.95
2020-08-03 13:23:40,2,0,0.98
2020-08-03 13:23:40,2,0,0.98
2020-08-03 13:23:41,3,1,0.95
2020-08-03 13:23:42,3,1,0.95
2020-08-03 13:23:42,2,0,0.98
2020-08-03 13:23:43,2,0,0.98
2020-08-03 13:23:43,2,0,0.98
2020-08-03 13:23:44,3,0,0.96
2020-08-03 13:23:44,3,0,0.96
2020-08-03 13:23:45,3,0,0.96
2020-08-03 13:23:45,3,0,0.96
2020-08-03 13:23:46,3,0,0.96
2020-08-03 13:23:46,3,1,0.95
2020-08-03 13:23:47,5,4,0.89
2020-08-03 13:23:47,4,2,0.92
2020-08-03 13:23:48,4,2,0.92
2020-08-03 13:23:49,3,1,0.95
2020-08-03 13:23:49,3,1,0.95
2020-08-03 13:23:50,2,0,0.98
2020-08-03 13:23:50,1,0,0.99
2020-08-03 13:23:51,2,1,0.96
2020-08-03 13:23:51,2,0,0.98
2020-08-03 13:23:52,2,0,0.98
2020-08-03 13:23:52,1,0,0.99
2020-08-03 13:23:53,1,0,0.99
2020-08-03 13:23:53,1,0,0.99
2020-08-03 13:23:54,1,0,0.99
2020-08-03 13:23:54,1,0,0.99
2020-08-03 13:23:55,1,0,0.99
2020-08-03 13:23:55,1,0,0.99
2020-08-03 13:23:56,1,0,0.99
2020-08-03 13:23:56,1,0,0.99
2020-08-03 13:23:57,1,0,0.99
2020-08-03 13:23:58,1,0,0.99
2020-08-03 13:23:58,1,0,0.99
2020-08-03 13:23:59,1,0,0.99
2020-08-03 13:23:59,1,0,0.99
2020-08-03 13:24:00,2,0,0.98
2020-08-03 13:24:00,2,0,0.98
2020-08-03 13:24:01,2,0,0.98
2020-08-03 13:26:32,4,1,0.94
2020-08-03 13:26:32,5,3,0.9
2020-08-03 13:26:33,5,1,0.92
2020-08-03 13:26:33,5,1,0.92
2020-08-03 13:26:34,4,1,0.94
2020-08-03 13:26:34,4,2,0.92
2020-08-03 13:26:35,6,4,0.88
2020-08-03 13:26:35,6,4,0.88
2020-08-03 13:26:36,6,4,0.88
2020-08-03 13:26:36,5,2,0.91
2020-08-03 13:26:37,5,2,0.91
2020-08-03 13:26:38,5,4,0.89
2020-08-03 13:26:38,6,6,0.85
2020-08-03 13:26:39,5,3,0.9
2020-08-03 13:26:39,5,3,0.9
2020-08-03 13:26:40,4,4,0.9
2020-08-03 13:26:40,4,3,0.91
2020-08-03 13:26:41,4,2,0.92
2020-08-03 13:26:41,5,3,0.9
2020-08-03 13:26:42,6,6,0.85
2020-08-03 13:26:42,5,2,0.91
2020-08-03 13:26:43,6,4,0.88
2020-08-03 13:26:43,5,1,0.92
2020-08-03 13:26:44,5,2,0.91
2020-08-03 13:26:45,4,1,0.94
2020-08-03 13:26:45,4,1,0.94
2020-08-03 13:26:46,4,1,0.94
2020-08-03 13:26:46,3,1,0.95
2020-08-03 13:26:47,3,1,0.95
2020-08-03 13:26:47,2,0,0.98
2020-08-03 13:26:48,2,0,0.98
2020-08-03 13:26:48,3,1,0.95
2020-08-03 13:26:49,3,1,0.95
2020-08-03 13:26:50,2,0,0.98
2020-08-03 13:26:50,2,0,0.98
2020-08-03 13:26:51,2,0,0.98
2020-08-03 13:26:51,2,0,0.98
2020-08-03 13:26:52,3,0,0.96
2020-08-03 13:26:52,3,0,0.96
2020-08-03 13:26:53,3,0,0.96
2020-08-03 13:26:53,3,0,0.96
2020-08-03 13:26:54,3,1,0.95
2020-08-03 13:26:54,5,4,0.89
2020-08-03 13:26:55,4,2,0.92
2020-08-03 13:26:55,4,2,0.92
2020-08-03 13:26:56,3,1,0.95
2020-08-03 13:26:57,3,1,0.95
2020-08-03 13:26:57,2,0,0.98
2020-08-03 13:26:58,1,0,0.99
2020-08-03 13:26:58,2,1,0.96
2020-08-03 13:26:59,2,0,0.98
2020-08-03 13:26:59,2,0,0.98
2020-08-03 13:27:00,1,0,0.99
2020-08-03 13:27:00,1,0,0.99
2020-08-03 13:27:01,1,0,0.99
2020-08-03 13:27:01,1,0,0.99
2020-08-03 13:27:02,1,0,0.99
2020-08-03 13:27:02,1,0,0.99
2020-08-03 13:27:03,1,0,0.99
2020-08-03 13:27:03,1,0,0.99
2020-08-03 13:27:04,1,0,0.99
2020-08-03 13:27:04,1,0,0.99
2020-08-03 13:27:05,1,0,0.99
2020-08-03 13:27:06,1,0,0.99
2020-08-03 13:27:06,1,0,0.99
2020-08-03 13:27:07,1,0,0.99
2020-08-03 13:27:07,2,0,0.98
2020-08-03 13:27:08,2,0,0.98
2020-08-03 13:27:08,2,0,0.98
2020-08-03 13:40:09,4,1,0.94
2020-08-03 13:40:09,5,3,0.9
2020-08-03 13:40:10,5,1,0.92
2020-08-03 13:40:10,5,1,0.92
2020-08-03 13:40:11,4,1,0.94
2020-08-03 13:40:11,5,2,0.91
2020-08-03 13:40:12,6,4,0.88
2020-08-03 13:40:12,6,4,0.88
2020-08-03 13:40:13,6,4,0.88
2020-08-03 13:40:14,5,2,0.91
2020-08-03 13:40:14,5,2,0.91
2020-08-03 13:40:15,5,4,0.89
2020-08-03 13:40:15,6,6,0.85
2020-08-03 13:40:16,5,3,0.9
2020-08-03 13:40:16,5,3,0.9
2020-08-03 13:40:17,4,4,0.9
2020-08-03 13:40:17,4,3,0.91
2020-08-03 13:40:18,5,2,0.91
2020-08-03 13:40:18,4,2,0.92
2020-08-03 13:40:19,6,6,0.85
2020-08-03 13:40:20,7,4,0.86
